Data,Valoare PLN (exprimată in lei),Variație,Variație.1
03.01.2020,1.1227,,
06.01.2020,1.126,0.0033,+0.29%
07.01.2020,1.1257,-0.0003,-0.03%
08.01.2020,1.1259,0.0002,+0.02%
09.01.2020,1.1252,-0.0007,-0.06%
10.01.2020,1.1253,0.0001,+0.01%
13.01.2020,1.1271,0.0018,+0.16%
14.01.2020,1.1319,0.0048,+0.43%
15.01.2020,1.1309,-0.001,-0.09%
16.01.2020,1.1283,-0.0026,-0.23%
17.01.2020,1.1287,0.0004,+0.04%
20.01.2020,1.1261,-0.0026,-0.23%
21.01.2020,1.1258,-0.0003,-0.03%
22.01.2020,1.1281,0.0023,+0.2%
23.01.2020,1.1255,-0.0026,-0.23%
27.01.2020,1.1199,-0.0056,-0.5%
28.01.2020,1.1174,-0.0025,-0.22%
29.01.2020,1.117,-0.0004,-0.04%
30.01.2020,1.1159,-0.0011,-0.1%
31.01.2020,1.1107,-0.0052,-0.47%
03.02.2020,1.1108,0.0001,+0.01%
04.02.2020,1.1158,0.005,+0.45%
05.02.2020,1.1207,0.0049,+0.44%
06.02.2020,1.1201,-0.0006,-0.05%
07.02.2020,1.1155,-0.0046,-0.41%
10.02.2020,1.1177,0.0022,+0.2%
11.02.2020,1.1193,0.0016,+0.14%
12.02.2020,1.119,-0.0003,-0.03%
13.02.2020,1.1185,-0.0005,-0.04%
14.02.2020,1.1241,0.0056,+0.5%
17.02.2020,1.1221,-0.002,-0.18%
18.02.2020,1.1178,-0.0043,-0.38%
19.02.2020,1.1185,0.0007,+0.06%
20.02.2020,1.1185,,
21.02.2020,1.1223,0.0038,+0.34%
24.02.2020,1.1172,-0.0051,-0.45%
25.02.2020,1.1175,0.0003,+0.03%
26.02.2020,1.1161,-0.0014,-0.13%
27.02.2020,1.1155,-0.0006,-0.05%
28.02.2020,1.1099,-0.0056,-0.5%
02.03.2020,1.1121,0.0022,+0.2%
03.03.2020,1.1147,0.0026,+0.23%
04.03.2020,1.1195,0.0048,+0.43%
05.03.2020,1.1177,-0.0018,-0.16%
06.03.2020,1.1174,-0.0003,-0.03%
09.03.2020,1.1163,-0.0011,-0.1%
10.03.2020,1.1152,-0.0011,-0.1%
11.03.2020,1.1154,0.0002,+0.02%
12.03.2020,1.1086,-0.0068,-0.61%
13.03.2020,1.1022,-0.0064,-0.58%
16.03.2020,1.0989,-0.0033,-0.3%
17.03.2020,1.0801,-0.0188,-1.71%
18.03.2020,1.0823,0.0022,+0.2%
19.03.2020,1.0575,-0.0248,-2.29%
20.03.2020,1.0702,0.0127,+1.2%
23.03.2020,1.0588,-0.0114,-1.07%
24.03.2020,1.054,-0.0048,-0.45%
25.03.2020,1.0567,0.0027,+0.26%
26.03.2020,1.0559,-0.0008,-0.08%
27.03.2020,1.0656,0.0097,+0.92%
30.03.2020,1.065,-0.0006,-0.06%
31.03.2020,1.0614,-0.0036,-0.34%
01.04.2020,1.0549,-0.0065,-0.61%
02.04.2020,1.0553,0.0004,+0.04%
03.04.2020,1.0542,-0.0011,-0.1%
06.04.2020,1.0611,0.0069,+0.65%
07.04.2020,1.0648,0.0037,+0.35%
08.04.2020,1.0673,0.0025,+0.23%
09.04.2020,1.0616,-0.0057,-0.53%
10.04.2020,1.0621,0.0005,+0.05%
13.04.2020,1.0586,-0.0035,-0.33%
14.04.2020,1.0618,0.0032,+0.3%
15.04.2020,1.0647,0.0029,+0.27%
16.04.2020,1.0665,0.0018,+0.17%
21.04.2020,1.0667,0.0002,+0.02%
22.04.2020,1.0674,0.0007,+0.07%
23.04.2020,1.0662,-0.0012,-0.11%
24.04.2020,1.0685,0.0023,+0.22%
27.04.2020,1.0696,0.0011,+0.1%
28.04.2020,1.0668,-0.0028,-0.26%
29.04.2020,1.066,-0.0008,-0.07%
30.04.2020,1.0668,0.0008,+0.08%
04.05.2020,1.0624,-0.0044,-0.41%
05.05.2020,1.0624,,
06.05.2020,1.0624,,
07.05.2020,1.0618,-0.0006,-0.06%
08.05.2020,1.0593,-0.0025,-0.24%
11.05.2020,1.0609,0.0016,+0.15%
12.05.2020,1.0608,-0.0001,-0.01%
13.05.2020,1.0592,-0.0016,-0.15%
14.05.2020,1.0596,0.0004,+0.04%
15.05.2020,1.0617,0.0021,+0.2%
18.05.2020,1.0603,-0.0014,-0.13%
19.05.2020,1.0625,0.0022,+0.21%
20.05.2020,1.0644,0.0019,+0.18%
21.05.2020,1.0682,0.0038,+0.36%
22.05.2020,1.0714,0.0032,+0.3%
25.05.2020,1.073,0.0016,+0.15%
26.05.2020,1.0859,0.0129,+1.2%
27.05.2020,1.093,0.0071,+0.65%
28.05.2020,1.0957,0.0027,+0.25%
29.05.2020,1.0879,-0.0078,-0.71%
02.06.2020,1.1034,0.0155,+1.42%
03.06.2020,1.1018,-0.0016,-0.15%
04.06.2020,1.0866,-0.0152,-1.38%
05.06.2020,1.0868,0.0002,+0.02%
09.06.2020,1.0894,0.0026,+0.24%
10.06.2020,1.0828,-0.0066,-0.61%
11.06.2020,1.0817,-0.0011,-0.1%
12.06.2020,1.0865,0.0048,+0.44%
15.06.2020,1.0885,0.002,+0.18%
16.06.2020,1.0918,0.0033,+0.3%
17.06.2020,1.0854,-0.0064,-0.59%
18.06.2020,1.0864,0.001,+0.09%
19.06.2020,1.0863,-0.0001,-0.01%
22.06.2020,1.0883,0.002,+0.18%
23.06.2020,1.0913,0.003,+0.28%
